                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.82615,                0.68531,                 1.0408,                0.90734,                 0.8058,                0.88209,                0.73883,                 0.7287,                 0.5326,                0.92581,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.80797,                0.67093,                 1.0287,                0.91752,                0.81001,                0.88924,                0.74139,                0.72769,                0.53052,                0.92487,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.84755,                 0.7187,                 1.0312,                0.91677,                0.81424,                0.89031,                0.74137,                 0.7238,                0.52899,                0.92364,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.84413,                0.70538,                 1.0459,                0.91458,                0.81564,                0.89089,                0.74121,                0.72115,                0.52575,                0.92172,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85392,                0.68145,                 1.0357,                0.90774,                0.81389,                0.89004,                 0.7422,                0.71796,                  0.522,                0.92061,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.86273,                0.69491,                 1.0192,                0.90835,                 0.8166,                0.89152,                 0.7443,                0.71577,                0.52064,                0.92023,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.84549,                0.70109,                 1.0299,                0.91709,                0.81084,                0.89154,                0.74581,                0.71629,                0.51849,                0.92002,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.83303,                0.69088,                 1.0237,                0.91942,                0.81351,                 0.8921,                0.74492,                0.71681,                0.51822,                0.91971,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 0.8544,                0.69683,                 1.0339,                0.91715,                0.81106,                0.89226,                0.74343,                0.71616,                0.51833,                 0.9194,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.83936,                0.69269,                 1.0269,                 0.9185,                0.81082,                0.89148,                0.74071,                0.71393,                0.51846,                0.91892,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.84172,                 0.6879,                 1.0292,                0.92094,                0.80918,                0.89149,                0.74277,                0.71257,                0.51792,                0.91875,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.83201,                0.67919,                 1.0252,                0.91928,                0.80877,                0.89072,                0.74416,                 0.7101,                0.51773,                0.91857,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.82444,                0.70071,                 1.0262,                0.91937,                0.81217,                0.89068,                0.74514,                0.70953,                 0.5171,                0.91842,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                 0.8353,                 0.6873,                 1.0301,                0.91982,                 0.8108,                0.88971,                0.74597,                0.70936,                0.51715,                 0.9183,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.80219,                0.67702,                 1.0217,                0.92291,                0.81002,                0.89016,                0.74683,                0.70812,                  0.517,                0.91773,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.84279,                0.68622,                 1.0418,                0.92438,                0.80893,                0.89044,                 0.7466,                0.70657,                0.51612,                0.91704,             1.7683e-05,             1.7683e-05,             1.7683e-05
